method,variant,dataset,n_total,n_pos_gt,n_pos_pred,n_unparseable,acc,mf,path,error
boundary_rescue,test_v2_alpha0.30_v1_G7,MHClip_ZH,149,45,53,0,0.8121,0.7871,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G7.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G8,MHClip_ZH,149,45,53,0,0.8121,0.7871,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G8.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G9,MHClip_ZH,149,45,52,0,0.8188,0.7937,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G9.jsonl,
boundary_rescue,test_v2_bayes_band_rate_v1_G10,MHClip_ZH,149,45,53,0,0.8255,0.8023,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_bayes_band_rate_v1_G10.jsonl,
boundary_rescue,test_v2_bayes_band_rate_v1_G7,MHClip_ZH,149,45,55,0,0.8255,0.8043,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_bayes_band_rate_v1_G7.jsonl,
boundary_rescue,test_v2_bayes_band_rate_v1_G9,MHClip_ZH,149,45,53,0,0.8255,0.8023,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_bayes_band_rate_v1_G9.jsonl,
boundary_rescue,test_v2_winning,MHClip_ZH,149,45,53,0,0.8255,0.8023,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_winning.jsonl,
holistic,test,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic/MHClip_EN/test.jsonl,
holistic,test_clean,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic/MHClip_EN/test_clean.jsonl,
holistic,test_mechanism,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic/MHClip_EN/test_mechanism.jsonl,
holistic,test,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic/MHClip_ZH/test.jsonl,
holistic,test_clean,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic/MHClip_ZH/test_clean.jsonl,
holistic,test_mechanism,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic/MHClip_ZH/test_mechanism.jsonl,
holistic_2b,test_binary,HateMM,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/HateMM/test_binary.jsonl,
holistic_2b,test_binary,ImpliHateVid,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/ImpliHateVid/test_binary.jsonl,
holistic_2b,test_binary,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_EN/test_binary.jsonl,
holistic_2b,test_binary_minimal,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_EN/test_binary_minimal.jsonl,
holistic_2b,test_binary_withdef,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_EN/test_binary_withdef.jsonl,
holistic_2b,test_triclass,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_EN/test_triclass.jsonl,
holistic_2b,test_triclass_broad,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_EN/test_triclass_broad.jsonl,
holistic_2b,test_triclass_nodef,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_EN/test_triclass_nodef.jsonl,
holistic_2b,test_binary,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_ZH/test_binary.jsonl,
holistic_2b,test_binary_minimal,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_ZH/test_binary_minimal.jsonl,
holistic_2b,test_binary_withdef,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_ZH/test_binary_withdef.jsonl,
holistic_2b,test_triclass,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_ZH/test_triclass.jsonl,
holistic_2b,test_triclass_broad,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_ZH/test_triclass_broad.jsonl,
holistic_2b,test_triclass_nodef,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_2b/MHClip_ZH/test_triclass_nodef.jsonl,
holistic_8b,test_binary,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_binary.jsonl,
holistic_8b,test_binary_deflected,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_binary_deflected.jsonl,
holistic_8b,test_binary_t1000,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_binary_t1000.jsonl,
holistic_8b,test_binary_withdef,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_binary_withdef.jsonl,
holistic_8b,test_triclass,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_triclass.jsonl,
holistic_8b,test_triclass_broad,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_triclass_broad.jsonl,
holistic_8b,test_triclass_broad_t1000,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_triclass_broad_t1000.jsonl,
holistic_8b,test_triclass_nodef,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_triclass_nodef.jsonl,
holistic_8b,test_triclass_norules_t1000,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_triclass_norules_t1000.jsonl,
holistic_8b,test_triclass_t1000,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_EN/test_triclass_t1000.jsonl,
holistic_8b,test_binary,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_binary.jsonl,
holistic_8b,test_binary_deflected,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_binary_deflected.jsonl,
holistic_8b,test_binary_withdef,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_binary_withdef.jsonl,
holistic_8b,test_triclass,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_triclass.jsonl,
holistic_8b,test_triclass_broad,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_triclass_broad.jsonl,
holistic_8b,test_triclass_broad_t1000,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_triclass_broad_t1000.jsonl,
holistic_8b,test_triclass_nodef,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_triclass_nodef.jsonl,
holistic_8b,test_triclass_t1000,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/holistic_8b/MHClip_ZH/test_triclass_t1000.jsonl,
lorehm,test_lorehm,HateMM,215,86,111,0,0.7907,0.7892,/data/jehc223/EMNLP2/results/lorehm/HateMM/test_lorehm.jsonl,
lorehm,test_lorehm,ImpliHateVid,105,52,47,0,0.8952,0.8949,/data/jehc223/EMNLP2/results/lorehm/ImpliHateVid/test_lorehm.jsonl,
lorehm,test_lorehm,MHClip_EN,161,49,27,0,0.7640,0.6728,/data/jehc223/EMNLP2/results/lorehm/MHClip_EN/test_lorehm.jsonl,
lorehm,test_lorehm,MHClip_ZH,149,45,19,0,0.7450,0.6219,/data/jehc223/EMNLP2/results/lorehm/MHClip_ZH/test_lorehm.jsonl,
lorehm_backup_7b_20260416,test_lorehm,HateMM,215,86,94,0,0.7767,0.7707,/data/jehc223/EMNLP2/results/lorehm_backup_7b_20260416/HateMM/test_lorehm.jsonl,
lorehm_backup_7b_20260416,test_lorehm,ImpliHateVid,400,199,137,0,0.7900,0.7845,/data/jehc223/EMNLP2/results/lorehm_backup_7b_20260416/ImpliHateVid/test_lorehm.jsonl,
lorehm_backup_7b_20260416,test_lorehm,MHClip_EN,161,49,15,0,0.7391,0.5905,/data/jehc223/EMNLP2/results/lorehm_backup_7b_20260416/MHClip_EN/test_lorehm.jsonl,
lorehm_backup_7b_20260416,test_lorehm,MHClip_ZH,149,45,20,0,0.7517,0.6360,/data/jehc223/EMNLP2/results/lorehm_backup_7b_20260416/MHClip_ZH/test_lorehm.jsonl,
mars_2b,test_mars,HateMM,215,86,143,0,0.6977,0.6964,/data/jehc223/EMNLP2/results/mars_2b/HateMM/test_mars.jsonl,
mars_2b,test_mars,ImpliHateVid,401,200,209,0,0.8329,0.8329,/data/jehc223/EMNLP2/results/mars_2b/ImpliHateVid/test_mars.jsonl,
mars_2b,test_mars,MHClip_EN,161,49,66,0,0.6584,0.6280,/data/jehc223/EMNLP2/results/mars_2b/MHClip_EN/test_mars.jsonl,
mars_2b,test_mars,MHClip_ZH,149,45,49,1,0.7450,0.7047,/data/jehc223/EMNLP2/results/mars_2b/MHClip_ZH/test_mars.jsonl,
mars_32b_awq,test_mars,MHClip_EN,161,49,37,0,0.7391,0.6668,/data/jehc223/EMNLP2/results/mars_32b_awq/MHClip_EN/test_mars.jsonl,
mars_32b_awq,test_mars,MHClip_ZH,45,11,6,0,0.8000,0.6737,/data/jehc223/EMNLP2/results/mars_32b_awq/MHClip_ZH/test_mars.jsonl,
match_qwen2vl_7b,test_match,HateMM,215,86,78,0,0.7488,0.7339,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/HateMM/test_match.jsonl,
match_qwen2vl_7b,test_match_peek,HateMM,215,86,18,0,0.5907,0.4420,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/HateMM/test_match_peek.jsonl,
match_qwen2vl_7b,test_match,ImpliHateVid,401,200,212,0,0.7406,0.7405,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/ImpliHateVid/test_match.jsonl,
match_qwen2vl_7b,test_match_peek,ImpliHateVid,400,199,15,0,0.5150,0.3812,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/ImpliHateVid/test_match_peek.jsonl,
match_qwen2vl_7b,test_match,MHClip_EN,161,49,34,0,0.7205,0.6348,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/MHClip_EN/test_match.jsonl,
match_qwen2vl_7b,test_match_peek,MHClip_EN,161,49,9,0,0.6770,0.4532,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/MHClip_EN/test_match_peek.jsonl,
match_qwen2vl_7b,test_match,MHClip_ZH,149,45,7,0,0.6779,0.4409,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/MHClip_ZH/test_match.jsonl,
match_qwen2vl_7b,test_match_peek,MHClip_ZH,148,45,4,0,0.6824,0.4253,/data/jehc223/EMNLP2/results/match_qwen2vl_7b/MHClip_ZH/test_match_peek.jsonl,
mod_hate,test_mod_hate_4shot,HateMM,215,86,66,0,0.8047,0.7863,/data/jehc223/EMNLP2/results/mod_hate/HateMM/test_mod_hate_4shot.jsonl,
mod_hate,test_mod_hate_8shot,HateMM,215,86,78,0,0.7767,0.7634,/data/jehc223/EMNLP2/results/mod_hate/HateMM/test_mod_hate_8shot.jsonl,
mod_hate,test_mod_hate_4shot,ImpliHateVid,400,199,46,0,0.6025,0.5323,/data/jehc223/EMNLP2/results/mod_hate/ImpliHateVid/test_mod_hate_4shot.jsonl,
mod_hate,test_mod_hate_8shot,ImpliHateVid,400,199,121,0,0.7100,0.6979,/data/jehc223/EMNLP2/results/mod_hate/ImpliHateVid/test_mod_hate_8shot.jsonl,
mod_hate,test_mod_hate_4shot,MHClip_EN,161,49,42,0,0.6335,0.5481,/data/jehc223/EMNLP2/results/mod_hate/MHClip_EN/test_mod_hate_4shot.jsonl,
mod_hate,test_mod_hate_8shot,MHClip_EN,161,49,29,0,0.7019,0.5939,/data/jehc223/EMNLP2/results/mod_hate/MHClip_EN/test_mod_hate_8shot.jsonl,
mod_hate,test_mod_hate_4shot,MHClip_ZH,149,45,80,0,0.4430,0.4281,/data/jehc223/EMNLP2/results/mod_hate/MHClip_ZH/test_mod_hate_4shot.jsonl,
mod_hate,test_mod_hate_8shot,MHClip_ZH,149,45,107,0,0.3826,0.3823,/data/jehc223/EMNLP2/results/mod_hate/MHClip_ZH/test_mod_hate_8shot.jsonl,
naive_2b,test_naive,HateMM,215,86,30,0,0.6744,0.5868,/data/jehc223/EMNLP2/results/naive_2b/HateMM/test_naive.jsonl,
naive_2b,test_naive,ImpliHateVid,401,200,30,0,0.5561,0.4574,/data/jehc223/EMNLP2/results/naive_2b/ImpliHateVid/test_naive.jsonl,
naive_2b,test_naive,MHClip_EN,161,49,11,0,0.7143,0.5289,/data/jehc223/EMNLP2/results/naive_2b/MHClip_EN/test_naive.jsonl,
naive_2b,test_naive,MHClip_ZH,149,45,11,0,0.7450,0.5822,/data/jehc223/EMNLP2/results/naive_2b/MHClip_ZH/test_naive.jsonl,
naive_gemma3_vl_12b,test_naive,HateMM,215,86,0,215,0.6000,0.3750,/data/jehc223/EMNLP2/results/naive_gemma3_vl_12b/HateMM/test_naive.jsonl,
naive_gemma3_vl_12b,test_naive,ImpliHateVid,391,193,0,391,0.5064,0.3362,/data/jehc223/EMNLP2/results/naive_gemma3_vl_12b/ImpliHateVid/test_naive.jsonl,
naive_gemma3_vl_12b,test_naive,MHClip_EN,161,49,3,156,0.7019,0.4496,/data/jehc223/EMNLP2/results/naive_gemma3_vl_12b/MHClip_EN/test_naive.jsonl,
naive_gemma3_vl_12b,test_naive,MHClip_ZH,149,45,0,149,0.6980,0.4111,/data/jehc223/EMNLP2/results/naive_gemma3_vl_12b/MHClip_ZH/test_naive.jsonl,
naive_internvl3_8b,test_naive,HateMM,215,86,58,0,0.7953,0.7703,/data/jehc223/EMNLP2/results/naive_internvl3_8b/HateMM/test_naive.jsonl,
naive_internvl3_8b,test_naive,ImpliHateVid,401,200,36,0,0.5810,0.4957,/data/jehc223/EMNLP2/results/naive_internvl3_8b/ImpliHateVid/test_naive.jsonl,
naive_internvl3_8b,test_naive,MHClip_EN,161,49,10,0,0.7205,0.5331,/data/jehc223/EMNLP2/results/naive_internvl3_8b/MHClip_EN/test_naive.jsonl,
naive_internvl3_8b,test_naive,MHClip_ZH,149,45,5,0,0.7181,0.4953,/data/jehc223/EMNLP2/results/naive_internvl3_8b/MHClip_ZH/test_naive.jsonl,
naive_llava_hf_llava_v1.6_mistral_7b_hf,test_naive,HateMM,215,86,0,215,0.6000,0.3750,/data/jehc223/EMNLP2/results/naive_llava_hf_llava_v1.6_mistral_7b_hf/HateMM/test_naive.jsonl,
naive_llava_hf_llava_v1.6_mistral_7b_hf,test_naive,ImpliHateVid,401,200,0,401,0.5012,0.3339,/data/jehc223/EMNLP2/results/naive_llava_hf_llava_v1.6_mistral_7b_hf/ImpliHateVid/test_naive.jsonl,
naive_llava_hf_llava_v1.6_mistral_7b_hf,test_naive,MHClip_EN,161,49,0,156,0.6957,0.4103,/data/jehc223/EMNLP2/results/naive_llava_hf_llava_v1.6_mistral_7b_hf/MHClip_EN/test_naive.jsonl,
naive_llava_hf_llava_v1.6_mistral_7b_hf,test_naive,MHClip_ZH,149,45,0,149,0.6980,0.4111,/data/jehc223/EMNLP2/results/naive_llava_hf_llava_v1.6_mistral_7b_hf/MHClip_ZH/test_naive.jsonl,
naive_llava_ov_7b,test_naive,HateMM,215,86,2,0,0.6093,0.3999,/data/jehc223/EMNLP2/results/naive_llava_ov_7b/HateMM/test_naive.jsonl,
naive_llava_ov_7b,test_naive,ImpliHateVid,401,200,9,0,0.4988,0.3497,/data/jehc223/EMNLP2/results/naive_llava_ov_7b/ImpliHateVid/test_naive.jsonl,
naive_llava_ov_7b,test_naive,MHClip_EN,161,49,5,1,0.6646,0.3993,/data/jehc223/EMNLP2/results/naive_llava_ov_7b/MHClip_EN/test_naive.jsonl,
naive_llava_ov_7b,test_naive,MHClip_ZH,149,45,3,0,0.6913,0.4288,/data/jehc223/EMNLP2/results/naive_llava_ov_7b/MHClip_ZH/test_naive.jsonl,
observations,test,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/observations/MHClip_EN/test.jsonl,
observations,test,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/observations/MHClip_ZH/test.jsonl,
otj_8b,test_judge_scores,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/otj_8b/MHClip_EN/test_judge_scores.jsonl,
otj_8b,test_observations,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/otj_8b/MHClip_EN/test_observations.jsonl,
otj_8b,test_judge_scores,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/otj_8b/MHClip_ZH/test_judge_scores.jsonl,
otj_8b,test_observations,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/otj_8b/MHClip_ZH/test_observations.jsonl,
procap_blip2_flan_t5_xl,test_procap,HateMM,215,86,100,19,0.4791,0.4694,/data/jehc223/EMNLP2/results/procap_blip2_flan_t5_xl/HateMM/test_procap.jsonl,
procap_blip2_flan_t5_xl,test_procap,ImpliHateVid,290,145,75,74,0.5655,0.5386,/data/jehc223/EMNLP2/results/procap_blip2_flan_t5_xl/ImpliHateVid/test_procap.jsonl,
procap_blip2_flan_t5_xl,test_procap,MHClip_EN,161,49,66,25,0.5342,0.4928,/data/jehc223/EMNLP2/results/procap_blip2_flan_t5_xl/MHClip_EN/test_procap.jsonl,
procap_blip2_flan_t5_xl,test_procap,MHClip_ZH,149,45,24,7,0.6443,0.5002,/data/jehc223/EMNLP2/results/procap_blip2_flan_t5_xl/MHClip_ZH/test_procap.jsonl,
procap_lavis_blip2_flan_t5_xl,test_procap,HateMM,181,75,0,145,0.5856,0.3693,/data/jehc223/EMNLP2/results/procap_lavis_blip2_flan_t5_xl/HateMM/test_procap.jsonl,
procap_lavis_blip2_flan_t5_xl,test_procap,MHClip_EN,161,49,0,90,0.6957,0.4103,/data/jehc223/EMNLP2/results/procap_lavis_blip2_flan_t5_xl/MHClip_EN/test_procap.jsonl,
procap_lavis_blip2_flan_t5_xl,test_procap,MHClip_ZH,149,45,0,90,0.6980,0.4111,/data/jehc223/EMNLP2/results/procap_lavis_blip2_flan_t5_xl/MHClip_ZH/test_procap.jsonl,
procap_lavis_blip2_flan_t5_xl_8frame,test_procap,MHClip_EN,16,4,0,10,0.7500,0.4286,/data/jehc223/EMNLP2/results/procap_lavis_blip2_flan_t5_xl_8frame/MHClip_EN/test_procap.jsonl,
procap_v3,test_procap,HateMM,215,86,60,0,0.7767,0.7511,/data/jehc223/EMNLP2/results/procap_v3/HateMM/test_procap.jsonl,
procap_v3,test_procap,ImpliHateVid,400,199,195,0,0.8700,0.8700,/data/jehc223/EMNLP2/results/procap_v3/ImpliHateVid/test_procap.jsonl,
procap_v3,test_procap,MHClip_EN,161,49,25,0,0.7516,0.6491,/data/jehc223/EMNLP2/results/procap_v3/MHClip_EN/test_procap.jsonl,
procap_v3,test_procap,MHClip_ZH,149,45,21,0,0.6913,0.5524,/data/jehc223/EMNLP2/results/procap_v3/MHClip_ZH/test_procap.jsonl,
prompt_paradigm,test_coarse_axes_axes,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_coarse_axes_axes.jsonl,
prompt_paradigm,test_coarse_axes_axes_pilot10,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_coarse_axes_axes_pilot10.jsonl,
prompt_paradigm,test_coarse_axes_control,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_coarse_axes_control.jsonl,
prompt_paradigm,test_coarse_axes_control_pilot10,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_coarse_axes_control_pilot10.jsonl,
prompt_paradigm,test_factored,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_factored.jsonl,
prompt_paradigm,test_modality,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_modality.jsonl,
prompt_paradigm,test_obsjudge,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_obsjudge.jsonl,
prompt_paradigm,test_per_rule,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_per_rule.jsonl,
prompt_paradigm,test_per_rule_pilot10,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_per_rule_pilot10.jsonl,
prompt_paradigm,test_polarity,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_EN/test_polarity.jsonl,
prompt_paradigm,test_coarse_axes_axes,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_coarse_axes_axes.jsonl,
prompt_paradigm,test_coarse_axes_control,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_coarse_axes_control.jsonl,
prompt_paradigm,test_factored,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_factored.jsonl,
prompt_paradigm,test_modality,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_modality.jsonl,
prompt_paradigm,test_obsjudge,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_obsjudge.jsonl,
prompt_paradigm,test_per_rule,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_per_rule.jsonl,
prompt_paradigm,test_polarity,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/prompt_paradigm/MHClip_ZH/test_polarity.jsonl,
quad,test,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/quad/MHClip_EN/test.jsonl,
quad,test,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/quad/MHClip_ZH/test.jsonl,
scores,test,HateMM,0,,0,0,,,/data/jehc223/EMNLP2/results/scores/HateMM/test.jsonl,
scores,test,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/scores/MHClip_EN/test.jsonl,
scores,test_merged,MHClip_EN,0,,0,0,,,/data/jehc223/EMNLP2/results/scores/MHClip_EN/test_merged.jsonl,
scores,test,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/scores/MHClip_ZH/test.jsonl,
scores,test_merged,MHClip_ZH,0,,0,0,,,/data/jehc223/EMNLP2/results/scores/MHClip_ZH/test_merged.jsonl,
